player,rating,games_played,win_prob_vs_avg,elo_equivalent
Tommy Lishman,1.5254102879339582,319,0.8213337918154647,1764.9909082752674
Paul Rowley,1.522150580112751,522,0.8208549461689952,1764.4246390275207
Anton Östlund,1.5214411110119312,117,0.8207505934952201,1764.3013916212938
Levy Frauenfelder,1.516682824081893,452,0.820049490092655,1763.4747925184827
Andy Jenkins,1.516359018093275,1439,0.8200017016335599,1763.418541656857
Arron Monk,1.5139476892871715,979,0.8196455174582656,1762.999650939039
Zoran Lerchbacher,1.5137276809423994,319,0.8196129920539805,1762.9614315749961
Alan Tabern,1.5135988635016864,1537,0.8195939459287305,1762.9390536935261
Danny Van Trijp,1.5132963944491031,573,0.8195492186190884,1762.8865094373327
Christian Perez,1.5105632959197364,122,0.8191446722698024,1762.411721593412
Adam Smith-Neale,1.5057844010908297,873,0.8184356147998024,1761.581542531896
Alec Small,1.5047861937309917,108,0.8182872352723748,1761.4081361526269
Jeff Smith,1.503127834655477,378,0.8180405183260346,1761.1200496744227
Dan Read,1.5022480975178456,665,0.8179095326115853,1760.9672236806634
Patrik Williams,1.496599529962832,143,0.8170667603578677,1759.9859669927432
Kevin Burness,1.493248696916961,456,0.8165653835883683,1759.403867672103
Cayden Smith,1.4903204511878005,180,0.8161263656778587,1758.8951792873704
Thomas Lovely,1.4863593239131578,597,0.8155311980949039,1758.207061000373
Darren Penhall,1.4849404134740507,90,0.8153176415433291,1757.9605710107653
Seigo Asada,1.4820570927233765,69,0.8148830913659973,1757.4596868941353
Kim Viljanen,1.4776262955582333,228,0.8142137789265445,1756.6899785904336
Martin C. Thomas,1.4760133746302038,109,0.813969669197438,1756.4097855269179
Jimmy Bristow,1.4737630843116019,224,0.8136286826102126,1756.0188700596982
Dominik Gruellich,1.47258634928312,136,0.8134501801253693,1755.8144502478854
Martin Grearson,1.4721493711868308,147,0.8133838600601127,1755.738539377513
Haupai Puha,1.4691007025302094,183,0.8129206587634906,1755.2089313876243
David Davies,1.465094002430438,142,0.812310553040926,1754.5128962900353
Jim Long,1.4641195376031186,129,0.8121619388521535,1754.34361441111
Mike van Duivenbode,1.4609643361158906,329,0.8116801231724421,1753.7954997730315
Geert de Vos,1.4541849889003124,509,0.810641672402019,1752.6178065383788
Daniel Larsson,1.4529378299888838,302,0.8104501571529573,1752.4011528450628
Reece Robinson,1.4522374689135062,777,0.8103425438006867,1752.2794876649123
Ronny Huybrechts,1.4481660291211624,794,0.8097160236067024,1751.5722061308259
Jelle Klaasen,1.4452881454619302,1816,0.8092722155763626,1751.0722665337203
Alex Spellman,1.4443700631626155,85,0.809130468696584,1750.91277930311
Benito van de Pas,1.440501941606405,878,0.8085323679372252,1750.2408177642328
Damian Vetjens,1.4380391156665813,263,0.8081508135904348,1749.8129810780113
Berry van Peer,1.4360885459915278,950,0.8078482094777002,1749.4741324194338
Scott Campbell,1.4350907373320072,242,0.8076932725787502,1749.300795301504
Neil Duff,1.426216301206708,86,0.8063110869879859,1747.7591478458157
Henry Coates,1.4243922755183915,435,0.8060260633101378,1747.4422821293015
Tom Bissell,1.4238012830534856,58,0.8059336460797203,1747.3396162227596
Jimmy Hendriks,1.4233490418052548,722,0.8058629036798729,1747.261053871321
Carl Wilkinson,1.4172976496576957,210,0.8049144235381471,1746.2098193843142
Aoife McCormack,1.4159937505949778,153,0.8047095945202386,1745.9833089171552
Tommy Morris,1.4150312332936195,175,0.8045582885760746,1745.8161025360687
Peter Jacques,1.412624608000921,500,0.8041795831974053,1745.3980289022177
Roger Janssen,1.4123160477471248,91,0.8041309881783296,1745.3444264959944
Steph Clarke,1.4077532831648538,206,0.8034113355472924,1744.5517931038728
Magnus Caris,1.4047166663915243,549,0.8029312856303458,1744.024278740548
Florian Preis,1.4014917599643546,51,0.8024205016299155,1743.4640551141583
Brett Claydon,1.3943059158875386,547,0.8012787684459851,1742.215746142007
Steve Farmer,1.393120767999251,290,0.8010899886561088,1742.009864866758
Rhys Griffin,1.3916011506932062,564,0.8008477347173106,1741.74588030251
Matthew Edgar,1.3848781270946653,748,0.7997733062784457,1740.5779714822893
Robbie Green,1.3834737421471361,577,0.799548319057869,1740.3340048290174
Steven Noster,1.383381021508445,96,0.7995334582337693,1740.3178976043205
Jani Haavisto,1.3826206535425989,99,0.7994115589213046,1740.1858081596074
Ronan McDonagh,1.381037266256973,53,0.7991575380915442,1739.9107456152622
Jeremy van der Winkel,1.3798932042550756,185,0.7989738478372046,1739.7120016895103
Keanu van Velzen,1.3769090852446777,252,0.7984941270034328,1739.1936071216871
Romeo Grbavac,1.3748055084752362,111,0.7981554463243256,1738.8281784083958
Aden Kirk,1.374176165731538,793,0.7980540380876193,1738.7188503760701
Franz Roetzsch,1.3737066384307433,311,0.7979783566983321,1738.637285129735
